Content;Likes;Date;Location
We just received this from @friends_of_usambara, our partner in Tanzania. *Your searches* have caused this glorious tree nursery to exist! Thank you so much ❤⠀#OneTreeAtATime #Tansania #Tanzania #Africa #Reforestation #Deforestation #Climate #ClimateAction #Environment #ClimateChange #Forest #NoFilterNecessary #Conservation #Green #Sustainable #Sustainability #Alternative #Search #Ecosia #OneBillionTrees;;September 22, 2017;
🌍 On this International Day of Peace, let's protect the planet we share. Whatever our nationality, religion or beliefs, we have to work together – in peace.⠀Healthy forests provide shelter, nutritious foods and dependable sources of income. Trees empower communities and help stabilize political and social situations. Let's plant more of them! 🌳 🌱⠀📷 from our recent trip to Morocco. Fruit tree farmers from Toubkal shared their food with us ☮️⠀#onetreeatatime #Morocco #reforestation #fruittrees #onebilliontrees #socialbusiness #treeplanting #conservation #climateaction #Ecosia #startup#onetreeatatime #Morocco #reforestation #fruittrees #onebilliontrees #socialbusiness #treeplanting #conservation #climateaction #Ecosia #startup;530 likes;September 21, 2017;
These saplings will, in time, restore some of the hills of Northern Morocco to their original fertility. And they will do so sustainably: fruit and nut trees are an economically attractive alternative to goat farming, one of the main causes of the region’s ecological decline. 🌱⠀#onetreeatatime #Morocco #reforestation #fruittrees #onebilliontrees #socialbusiness #treeplanting #conservation #climateaction #Ecosia #startup;857 likes;September 20, 2017;
We're on our way to Peru to show you some of the trees your searches are planting! 🌳 🌳 🌳⠀Check out our Instagram Story to follow our journey 🗺⠀#onetreeatatime #Peru #reforestation #onebilliontrees #socialbusiness #treeplanting #conservation #climateaction #Ecosia #startup;598 likes;September 19, 2017;
🌱 When we visited the @highatlasfoundation's nursery in Tadmamt, we knew that our Moroccan partner is capable of creating thriving nurseries in even the rockiest conditions. 💯⠀#onetreeatatime #Morocco #reforestation #fruittrees #onebilliontrees #socialbusiness #treeplanting #conservation #climateaction #Ecosia #startup;664 likes;September 18, 2017;
We just wanted to wish you a wonderful weekend!⠀📸 from our recent project visit in Morocco 🌳;731 likes;September 15, 2017;
Some of the saplings your searches have funded are currently being distributed to smallholder farmers in Tanzania. Because trees are key to a more fertile soil 🌿⠀📷 by @friends_of_usambara, our wonderful Tanzanian partner⠀#OneTreeAtATime #Tansania #Tanzania #Africa #Reforestation #Deforestation #Climate #ClimateAction #Environment #ClimateChange #Forest #NoFilterNecessary #Conservation #Green #Sustainable #Sustainability #Alternative #Search #Ecosia #OneBillionTrees;896 likes;September 13, 2017;
"""My wife is so happy about the trees. She cares for them all the time. When they were planted it was as if a new life was starting for her. She has her own income now. As our trees grow taller, the love between me and my wife grows stronger.""⠀– Hussein, Dar Isselday, Morocco⠀#onetreeatatime #love #relationshipgoals #farmer #Morocco #reforestation #fruittrees #onebilliontrees #socialbusiness #treeplanting #conservation #climateaction #Ecosia #startup";479 likes;September 12, 2017;
"⠀""Tree planting is not just about trees. It's about children's education, peace and happiness”.⠀That's the beautiful message we received along with these pictures from our partners in #BurkinaFaso. Saydou (the friendly, smiling fella on the bottom of the first picture) is our main representative on the ground. He just brought these pictures back from an all-round trip through the villages surrounding the sites where your searches are helping us plant trees.⠀On his trip, Saydou visited many of the people benefitting from the tree-planting activities. For example, the children in Bossey village. Tree-planting earns their parents an extra income which they can invest in many things, such as the building of new schools.⠀Saydou also met many of the women from neighbouring villages in the Sahel region where we are also supporting tree-planting activities.⠀By selling many of the goods that forests provide, women earn an extra income. In some of the villages where our partners have been active for a couple of years before Ecosia joined forces with them, this has proven to be very empowering. As women are assured full ownership over the salary they earn through the planting activities, they start investing the money into different purposes - such as their health or better transport methods from their homes to the markets. Or, as already mentioned above, in children’s education.⠀#OneTreeAtATime #OneBillionTrees #Sahel #BurkinaFaso #School #Children #Treeplanting #Trees #Reforestation #Deforestation #Climate #ClimateAction #Empowerment #Education #Women #WomenEmpowerment #Nature #Desert";790 likes;September 11, 2017;
Of all the #rainforests in the world, #Orangutans are only found in #Sumatra and #Borneo. Sadly, in the past two decades, half of this habitat has been lost.⠀Driven mostly by #PalmOil plantations, deforestation in Borneo displaces thousands of Orangutans every year. Thankfully, there’s hope.⠀Organisations such as the Sintang Orangutan Centre reintegrate these intelligent animals back into their natural habitat. This is the habitat that your searches on Ecosia are helping us restore.⠀After being rescued from captivity, the great apes are cared for, learn how to survive in the wild in a safe forest school, before being released into the wild, where they belong.⠀#OneTreeAtATime #reforestation #deforestation #animalRights #animals #animallovers #endangered #wildanimals #Indonesia;650 likes;September 8, 2017;
Our largest Moroccan nursery! Our local partner, the @highatlasfoundation, has already built an economical water-drip system. In the coming days, the nursery will be weeded, so that even more saplings can be planted and, eventually, distributed to local smallholder farmers – #onetreeatatime.⠀#onebilliontrees #socialbusiness #reforestation #morocco #fruittrees;;September 7, 2017;
Gongo, northern Burkina Faso, in 2016.⠀We can't wait to visit the project again soon to see how the people and trees have been doing since our last trip.⠀#OneTreeAtATime #BurkinaFaso #Sahel #Trees #Treeplanting #Reforestation #Deforestation #Women⠀;469 likes;September 6, 2017;
Three things we learned when planting trees ourselves in Indonesia:⠀1. They need lots of love! When you dig tree saplings out, you need to be very careful not to harm their roots.⠀2. Some trees are ninjas: They’re tiny from the outside, but have incredibly long, deep-reaching roots!⠀3. It’s wonderful to get one’s hands dirty and truly be in touch with nature.⠀Have you ever planted a tree? What was it like?⠀#OneTreeAtATime #Reforestation #Deforestation #TreePlanting #Trees #Forest #Indonesia #Borneo #Alternative #Green #Sustainability #Sustainable #Conservation #ClimateAction #Climate #HandsOn #Soil #Nature;700 likes;September 5, 2017;
